停机位 国际国内属性 远近机位属性 滑行道 飞行任务 航空公司 机型
101 国际 近机位 A4 3,D,M,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,732,733,734,735,736,738,73G,73H,73W,752,762,AB6,T20
102 国际 近机位 A4 3,D,M,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,732,733,734,735,736,738,73G,73H,73W,752,762,763,AB6,T20
103 国际 近机位 A4 3,D,M,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,332,333,342,343,345,346,732,733,734,735,736,738,739,73G,73H,73W,741,742,743,744,74L,752,762,763,772,773,788,789,AB6,D10,M11
104 国际 近机位 A4 3,D,M,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,332,333,342,343,345,346,732,733,734,735,736,738,739,73G,73H,73W,741,742,743,744,74L,752,762,763,772,773,788,789,AB6,D10,M11
105 国际 近机位 A4 3,D,M,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 319,320,321,32B,32V,332,333,342,343,345,346,388,741,742,743,744,752,762,763,772,773,788,789,AB6,D10,M11,T20,388
106 国际 近机位 A4 3,D,M,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,321,32B,32V,332,333,342,343,345,346,388,744,748,752,762,763,772,773,788,789,AB6,D10,M11,388
107 国际 近机位 A5 3,D,M,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6,T20
108 国际 近机位 A5 3,D,M,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,732,733,734,735,736,738,73G,73H,73W,752,762,763,AB6,T20
109 国际 近机位 A5 3,D,M,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,332,333,342,343,345,346,732,733,734,735,736,738,739,73G,73H,73W,741,742,743,744,752,762,763,772,773,788,AB6,D10,M11
110 国际 近机位 A5 3,D,M,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,332,333,342,343,345,346,732,733,734,735,736,738,739,73G,73H,73W,741,742,743,744,752,762,763,772,773,788,789,AB6,D10,M11
111 国际 近机位 A5 3,D,M,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,76W,AB6,T20
112 国际 近机位 A5 3,D,M,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6,T20
113 国际 近机位 A6 3,D,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
114 国际 近机位 A6 3,D,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 319,320,321,733,734,735,736,738
115 国际 近机位 A6 3,D,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 319,320,321,32B,733,734,735,736,738,73G,73H,73W
116 国际 近机位 A6 3,D,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,332,333,343,732,733,734,735,736,738,73G,73H,73W,741,742,743,744,752,762,763,772,788,789,AB6,D10,M11
117 国际 近机位 A6 3,D,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,321,32B,32V,332,333,342,343,345,346,388,744,748,752,753,762,763,772,773,788,789,AB6,D10,M11,388
118 国际 近机位 A7 3,D,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
119 国际 近机位 A7 3,D,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
120 国际 近机位 A7 3,D,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
121 国际 近机位 A7 3,D,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,76W,AB6
122 国际 近机位 A7 3,D,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 319,320,32V,732,733,734,735,736,738,73G,73H,73W
123 国际 近机位 A7 3,D,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 319,320,32V,732,733,734,735,736,738,73G,73H,73W
124 国内 近机位 A8 3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 732,733,734,735,736,738,73G,73H,73W
125 国内 近机位 A8 3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
126 国内 近机位 A8 3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
127 国内 近机位 A8 3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 319,320,32V,732,733,734,735,736,738,73G,73H,73W
