滑行道 停机位
A4 101,102,103,104,105,106
A5 107,108,109,110,111,112
A6 113,114,115,116,117
A7 118,119,120,121,122,123
A8 124,125,126,127,128
A9 129,130,131,132,133,135,136,137,138,139,140
B6 201,202,203,204,205,206,401,402,403,404,405,406,407,408,409,410
B7 207,208,209,210,211,212,213
B8 214,215,216,217,218
B9 220,221,222,223
B10 224,225,226,227,228,229
B11 231,232,233,234,235,236,237,238,239
B16 256,257,258,259,261,263,430,431
B17 264,266,267,268,269,270
B21 271,272,273,274,275,276,277,278
A3 301,302,303,304,305,306,307,308
A18 309,310,311,312,313
B3 411,412,413,414,415,416,417,418,419,420,421,422,423
B4 424,425,426,427,428,429
B22 432,433,434,435,436,437
C 501,502,503,504,505,506,507,508,509,510,511,512,513,514,515
Q15 FX01,FX02,FX03,FX04,FX05,FX06,FX07,FX08,FX09,FX10,FX11,FX12,FX13,FX14,FX15,FX16,FX17,FX18,FX19,FX20,FX21,FX22,FX23,FX24,FX26,FX28
J12 GY01,GY02,GY03,GY04,GY05,GY06
L10 GY07,GY08,GY09,GY10,GY11,GY12
